OTU ID,A_1,E_1,A_3,C_1,B_1,E_3,F_3,E_2,C_3,C_2,D_3,B_3,B_2,D_1,D_2,F_2,A_2,F_1
OTU9654,173,200,209,233,391,273,400,167,282,256,197,405,287,293,419,321,169,285
OTU14480,0,1,3,0,1,4,0,0,3,2,0,0,0,0,3,0,0,2
OTU10453,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU1940,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU12091,1,0,0,1,1,0,0,1,0,0,0,0,0,2,2,0,0,0
OTU1878,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU14303,0,0,0,0,5,0,1,0,0,0,0,0,3,0,2,0,0,2
OTU6296,0,0,0,0,0,0,1,0,0,3,0,0,1,5,1,3,0,1
OTU13090,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU454,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU8512,2,2,1,1,3,1,0,2,0,2,2,0,0,0,0,2,2,0
OTU11822,0,2,0,0,0,3,5,1,0,8,1,2,0,1,1,6,2,1
OTU13761,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU14788,2,1,0,3,0,0,0,1,0,7,0,0,0,0,5,0,0,1
OTU12774,0,0,1,0,0,1,0,4,0,0,1,3,0,0,0,0,0,0
OTU14387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6703,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,1
OTU3594,0,0,0,0,0,0,0,0,1,2,0,5,0,0,1,0,0,0
OTU316,7,1,1,4,0,1,0,0,13,5,5,0,4,0,1,1,0,1
OTU1414,1,3,2,1,0,2,0,0,3,1,0,1,2,0,0,0,2,2
OTU11708,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU7309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
OTU12254,2,4,2,0,7,6,8,9,4,6,0,8,1,1,2,5,2,2
OTU1555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
OTU3562,0,0,2,1,0,3,0,0,1,6,2,5,0,0,2,0,1,0
